"Add Recipient","Adicione Destinatário"
"Allow for Guests","Permitir para convidados"
"An invalid email address for recipient was entered.","Um endereço de e-mail de destinatário foi inserido é inválido."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Back","Voltar"
"Catalog Product Email to a Friend","Produto de Catálogo: Mandar E-Mail para Amigo"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email Templates","Modelos de e-mail"
"Email to a Friend","Enviar por e-mail a um amigo"
"Email:","E-mail:"
"Enabled","Ativado"
"Invalid Sender Information","Informações inválidas de remetente"
"Invalid sender email.","E-mail de remetente inválido."
"Limit Sending By","Limitar os envios por"
"Max Products Sent in 1 Hour","Número máximo de produtos enviados em 1 hora"
"Max Recipients","Máximo de destinatários"
"Maximum %d email addresses allowed.","Só são permitidos %d endereços de e-mail."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","No máximo %d e-mails podem ser enviados de uma vez."
"Please define a correct Cookie instance.","Defina um elemento de Cookie correto."
"Please define a correct Product instance.","Defina um elemento de Produto correto."
"Please define the correct Sender information.","Defina as informações corretas do Remetente."
"Recipient:","Destinatário:"
"Remove Email","Remover Email"
"Select Email Template","Escolha o modelo de e-mail"
"Send Email","Enviar email"
"Send product to a friend","Envie o produto para um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns e-mails não foram enviados."
"The link to a friend was sent.","O link para um amigo foi enviado."
"The message cannot be empty.","A mensagem não pode estar vazia."
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser enviadas mais de %s vezes em uma hora"
"The sender name cannot be empty.","O nome do remetente não pode estar em branco."
"There were some problems with the data.","Ocorreram alguns problemas com os dados."
"You have exceeded limit of %d sends in an hour","Você excedeu o limite de %d envios em uma hora"
