"Action","操作"
"An error occurred while writing to the backup file ""%s"".","写入备份文件 ""%s"" 时遇到了一个错误。"
"Backup file ""%s"" cannot be read from or written to.","备份文件 ""%s"" 不能读取或写入。"
"Backup file ""%s"" does not exist.","备份文件 ""%s"" 不存在。"
"Backup file does not exist.","备份文件不存在。"
"Backup file handler was unspecified.","未指定备份文件的处理程序。"
"Backup file path was not specified.","备份文件路径未指定。"
"Backups","备份"
"Cannot read backup file.","无法读取备份文件。"
"Create Backup","创建备份"
"DB","DB"
"Database was successfuly backed up.","数据库已成功备份。"
"Download","下载"
"Size, Bytes","大小，字节"
"The file was compressed with Zlib, but this extension is not installed on server.","该文件已使用Zlib压缩，但服务器上没有安装该扩展。"
"Time","时间"
"Type","类型"
"Unable to create backup. Please, try again later.","无法创建备份。请稍候重试。"
"Wrong order of creation for new backup.","创建新备份的顺序有误。"
