"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税。"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 及以上"
"(%d)","(%d)"
"(Copy data from: %s)","（复制数据自：%s）"
"* Required Fields","*必要字段"
"-- Please Select --","-- 请选择 --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果没有设置，则默认值为 86400。要立即刷新，请清空块状 HTML 输出缓存。"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">警告！</strong> 默认应用 MAP 将在前端隐藏所有产品的价格。"
"A group with the same name already exists.","以同样名称命名的群组已存在。"
"A name is required","需要设置名称"
"A product type is not defined for the indexer.","索引器中产品类型未定义。"
"ALL GROUPS","所有群组"
"AM","AM"
"Action","操作"
"Actual Price","实际价格"
"Add","添加"
"Add Attribute","添加属性"
"Add Design Change","添加设计变更"
"Add Group","添加群组"
"Add Group Price","添加组价格"
"Add New","添加新内容"
"Add New Attribute","添加新属性"
"Add New Attribute Set","添加新属性集"
"Add New Group","添加新群组"
"Add New Images","添加新图像"
"Add New Option","添加新选项"
"Add New Row","添加新行"
"Add New Search Term","添加新的搜索条件"
"Add New Set","添加新集"
"Add Product","添加产品"
"Add Product To Websites","添加产品到网站"
"Add Root Category","添加根分类"
"Add Subcategory","添加子分类"
"Add Tax","添加税金"
"Add Tier","添加层"
"Add attribute into attribute set","将属性加入属性集"
"Add group into attribute set","将组加入属性集"
"Add new custom option into product","添加新自定义选项到产品"
"Add new values into custom option","添加新值到自定义选项"
"Add option","添加选项"
"Add to Cart","添加到购物车"
"Add to Compare","添加并比较"
"Add to Wishlist","添加到收藏"
"Additional Information","额外信息"
"Alert Urls","警报URL"
"All","全部"
"All Product Types","所有产品类型"
"All Websites","所有网站"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","该集合的所有产品都将被删除！您是否确认要删除该属性集？"
"Allow All Products per Page","每页面允许显示的所有产品"
"Allow Dynamic Media URLs in Products and Categories","在产品和分类中允许使用动态媒体URL"
"Allow HTML Tags on Frontend","允许在前端使用HTML标签"
"Allowed File Extensions","允许的文件扩展"
"Allowed file extensions to upload","允许上传的文件扩展"
"Amount","数量"
"An error occurred while adding products to websites.","添加产品到网站时发生错误。"
"An error occurred while clearing comparison list.","清除对照表时发生错误。"
"An error occurred while deleting this review.","删除该评论时出错。"
"An error occurred while removing products from websites.","从网站移除产品时发生错误。"
"An error occurred while saving the URL rewrite","保存重写的URL时发生错误。"
"An error occurred while saving the attribute set.","保存属性集时发生错误。"
"An error occurred while saving the collection, aborting. Error message: %s","保存集合时出错，正在忽略。错误信息：%s"
"An error occurred while saving the product. ","保存产品时发生错误。"
"An error occurred while saving the search query.","保存搜索查询时发生错误。"
"An error occurred while saving this group.","保存这个分组时发生错误。"
"An error occurred while saving this review.","保存该评论时出错。"
"An error occurred while trying to delete the category.","删除该类别时发生错误。"
"An error occurred while updating the product(s) attributes.","更新产品属性时发生错误。"
"An error occurred while updating the product(s) status.","更新产品状态时发生错误。"
"An invalid group ID is specified, skipping the record.","指定的组ID无效，跳过记录。"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s)为无效的选项ID，跳过此记录。"
"An invalid store was specified.","指定了一个无效的存储。"
"Anchor Custom Text","自定义文本锚点"
"Anchor Custom Title","自定义标题锚点"
