None,Keine
Close,Schließen
Cancel,Cancel
Product,Product
Price,Price
ID,ID
SKU,SKU
Qty,Qty
"Excl. Tax","Steuer weglassen"
Total,Total
"Incl. Tax","Steuer inkludieren"
"Total incl. tax","Total incl. tax"
Delete,Delete
Name,Name
From,Von
To,An
Required,Required
Position,Position
"Percent Discount","Prozent Rabatt"
"-- Select --","-- Auswählen --"
Dynamic,Dynamisch
Fixed,Fix
"Create New Option","Create New Option"
"Bundle Items",Bundleartikel
"Add Products to Option","Add Products to Option"
"Delete Option","Delete Option"
"Please enter search conditions to view products.","Bitte geben Sie Suchbedingungen ein, um Produkte zu sehen."
"Use Default Value","Standardwert verwenden"
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
"As Low as","So niedrig wie"
"Price Range",Preisklasse
"Please specify product option(s).","Bitte spezifizieren Sie Produktoption(en)."
"Please select all required options.","Please select all required options."
"The required options you selected are not available.","The required options you selected are not available."
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,"Nicht verfügbar"
Percent,Prozent
Qty:,Qty:
"Choose a selection...","Wählen Sie eine Auswahl..."
"Ship Bundle Items","Bundleartikel versenden"
Separately,Separat
Together,Zusammen
"Option Title","Option Title"
"Store View Title","Shopansicht Titel"
"Input Type",Eingabetyp
"There are no products in this option.","There are no products in this option."
"New Option","New Option"
Default,Standard
"Price Type",Preistyp
"Default Quantity",Standardanzahl
"User Defined","User Defined"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Refunded,Refunded
Canceled,Canceled
"As low as","So niedrig wie"
From:,Von:
To:,An:
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"* Required Fields","* Pflichtfelder"
"Your Customization","Your Customization"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Summary,Summary
"%1 x %2","%1 x %2"
Availability:,Availability:
"Customize %1","Customize %1"
"No options of this product are available.","Es sind keine Optionen dieses Produkts verfügbar."
"Gift Message",Geschenkmitteilung
Message:,Nachricht:
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Total Incl. Tax","Total Incl. Tax"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Selected Products","Add Selected Products"
