All,Todo
None,Nada
"Are you sure?","¿Está seguro?"
Cancel,Cancelar
Back,Volver
Product,"Nombre de Producto"
Price,Precio
Quantity,Cantidad
Products,Productos
ID,"ID de Producto"
SKU,"SKU (Número de Referencia)"
No,No
Qty,Qty
Action,Acción
Reset,Reiniciar
Edit,Editar
"Add to Cart","Añadir al Carrito"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"First Name",Nombre
"Last Name",Apellido
Email,"Correo electrónico"
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
"Use Default","Use Default"
Delete,Eliminar
Save,guardar
Store,Tienda
"-- Please Select --","-- Seleccionar, por favor --"
"Custom Design","Diseño Personalizado"
Yes,Sí
"Web Site","Web Site"
Name,Nombre
Status,Estado
Disabled,Deshabilitado
Enabled,Habilitado
"Save and Continue Edit","Guardar y continuar editando"
Title,Título
"Store View","Ver Tienda"
Type,Tipo
Home,Inicio
Search,Buscar
"Select All","Select All"
"Add New","Añadir Nuevo"
"Please select items.","Seleccione artículos."
Required,Required
Website,"Sitio web"
"All Websites","Todos los Sitios Web"
Next,Siguiente
"Please enter a valid number in this field.","Please enter a valid number in this field."
Catalog,Catálogo
Images,Images
"per page","por página"
"Mass Actions","Mass Actions"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Loading...
OK,Aceptar
Visibility,Visibilidad
Position,Posición
Fixed,Fijo
"Use Default Value","Usar Valor por Defecto"
N/A,N/A
Percent,Percent
"Option Title","Option Title"
"Input Type","Introducir tipo"
"New Option","New Option"
"Price Type","Tipo de precio"
"* Required Fields","* Campos Requeridos"
Availability,Availability
"In stock","En existencias"
"Out of stock","Sin existencias"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
Root,Raíz
"Save Category","Guardar Categoría"
"Delete Category","Borrar categoría"
"New Subcategory","Nueva Subcategoría"
"New Root Category","Nueva Categoría Raíz"
"Set Root Category for Store","Establecer categoría raíz para la tienda"
"Use Config Settings","Usar Opciones de Configuración"
"Use All Available Attributes","Use All Available Attributes"
"General Information","Información general"
"Category Data","Datos de Categoría"
"Category Products","Categoría de Productos"
"Add Subcategory","Agregar subcategoría"
