Product,Product
ID,ID
SKU,SKU
Apply,Toepassen
No,Nee
Yes,ja
"Web Site","Web Site"
Status,Status
"Save and Continue Edit","Bewaar en Ga Door met Bewerking"
Type,type
Description,Omschrijving
From,From
To,To
Catalog,Catalogus
Actions,Acties
Rule,"Regel naam"
"Start on",Startdatum
"End on",Vervaldatum
Active,actief
"This rule no longer exists.","Deze regel bestaat niet langer"
"General Information","Algemene informatie"
Websites,Websites
"Attribute Set",Attributenset
"Apply Rules","Stel regels in"
"Catalog Price Rules","Catalogus prijs regels"
"Add New Rule","voeg nieuwe regel toe"
"Save and Apply","Sla op en stel in"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nieuwe regel"
"Rule Information","Regel informatie"
"Update Prices Using the Following Information","Update Prijzen Met behulp van de Volgende Informatie"
"By Percentage of the Original Price","Door Percentage van de Oorspronkelijke Prijs"
"By Fixed Amount","Door Vaste Hoeveelheid"
"To Percentage of the Original Price","Naar Percentage van de Oorspronkelijke Prijs"
"To Fixed Amount","Naar Vaste Hoeveelheid"
"Discount Amount","Discount Amount"
"Enable Discount to Subproducts","Schakel Korting op Deelproducten in"
"Stop Further Rules Processing","Stop verdere verwerking van regels"
Conditions,Voorwaarden
"Conditions (leave blank for all products)","Voorwaarden (laat leeg voor alle producten)"
"Rule Name","Rule Name"
Inactive,Inactief
"Customer Groups",Klantgroepen
"From Date","Vanaf datum"
"To Date","Naar datum"
Priority,Prioriteit
"Catalog Price Rule","Catalogus prijs regel"
Promotions,Promoties
Promo,Promo
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Bewerk regel"
"Wrong rule specified.","Verkeerde regel gespecificeerd"
"The rule has been saved.","De regel is opgeslagen."
"An error occurred while saving the rule data. Please review the log and try again.","Er is een fout opgetreden tijdens het opslaan van de regeldata. Herzie a.u.b. het log en probeer opnieuw."
"The rule has been deleted.","De regel is verwijderd"
"An error occurred while deleting the rule. Please review the log and try again.","Er is een fout opgetreden tijdens het verwijderen van de regel. Herzie a.u.b. de log en probeer opnieuw."
"Unable to find a rule to delete.","Niet in staat om een regel te vinden om te verwijderen"
"Unable to apply rules.","Niet in staat om regels in te stellen"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Er zijn regels welke veranderd zijn, maar niet ingesteld. Klik op 'stel regels in' om direct effect te zien in de catalogus."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 Catalog Price Rules based on ""%2"" attribute have been disabled."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination",Voorwaardencombinaties
"Product Attribute","Product attribuut"
"The rules have been applied.","De regels zijn ingesteld."
