"3D Secure Card Validation","Validation carte 3D sécurisée"
"Validation failed.","Validation a échouée."
"3D Secure Verification Result","Résultat vérification 3D sécurisé"
"3D Secure Cardholder Validation","Validation porteur de carte 3D sécurisée"
"3D Secure Electronic Commerce Indicator","Indicateur commerce électronique 3D sécurisé"
"3D Secure CAVV","CAVV 3D sécurisé"
"3D Secure XID","XID 3D sécurisé"
"Merchant Liability","Responsabilité du commerçant"
"Card Issuer Liability","Responsabilité de l'émetteur de la carte"
Enrolled,Enrôlé
"Enrolled but Authentication Unavailable","Enrôlé mais authentification non disponible"
"Not Enrolled","Non enrôlé"
Successful,Réussi
Failed,Échec
"Unable to complete","Ne peut compléter"
"Successful attempt","Tentative réussie"
"Unsupported currency code: %1.","Unsupported currency code: %1."
"Payment information error. Please start over.","Erreur d'infos de paiement. Veuillez recommencer."
"Please verify the card with the issuer bank before placing the order.","Veuillez vérifier la carte avec la banque émettrice avant de passer la commande."
"This card has failed validation and cannot be used.","La carte n'a pu être validée et ne peut être utilisée."
"Verification Successful","Vérification réussie"
"Please continue with placing order.","Veuillez continuer à faire la commande."
"Verification Failed","Vérification a échouée"
"The card has failed verification with the issuer bank.","La carte n'a pas réussie sa vérification avec la banque émettrice."
"Order cannot be placed.","Commande ne peut être placée."
"Verification cannot be processed","Vérification ne peut être traitée"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Une mauvaise information de paiement a été soumise ou temps imparti est achevé. Veuillez réessayer."
"Card Verification","Vérification carte"
"Start/Reset Validation...","Démarrer/réinitialiser validation..."
"Please verify the card with the issuer bank:","Veuillez vérifier la carte avec la banque émettrice"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Une mauvaise information de paiement a été soumise ou le temps imparti s'est achevé. Veuillez réessayer."
"To ensure the security of your transactions","Pour assurer la sécurité de vos transactions"
"Verified by Visa","Vérifié par Visa"
"MasterCard SecureCode","Code sûr MasterCard"
Password,Password
"Test Mode","Test Mode"
"Payment Services","Payment Services"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"Processor ID","Processor ID"
"Merchant ID","Merchant ID"
"This overrides any API URL that may be specified by a payment method.","This overrides any API URL that may be specified by a payment method."
"Debug Mode","Debug Mode"
