Remove,Remove
Back,Terug
Price,prijs
"Shopping Cart",Winkelmandje
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Shopping Cart Items","Shopping Cart Items"
Qty,Qty
Subtotal,Subtotaal
"Excl. Tax","exclusief btw"
Total,totaal
"Incl. Tax","inclusief btw"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","ga naar verlanglijstje"
"Edit item parameters","Parameters van artikel bewerken"
Edit,Bewerk
"Remove item","Verwijder artikel"
Item,Item
"Unit Price","Prijs per stuk"
Loading...,Loading...
"* Required Fields","* Vereiste Velden"
Change,Wijzigen
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"What's this?","Wat is dit?"
"1 item","1 item"
"%1 items","%1 items"
"Product Name","Product Name"
"Invalid method: %1","Invalid method: %1"
"My Cart (1 item)","My Cart (1 item)"
"My Cart (%1 items)","My Cart (%1 items)"
"My Cart","Mijn winkelwagen"
"New Address","Nieuw Adres"
Country,Land
State/Province,staat/provincie
"Billing Information",Betalingsinformatie
"Checkout Method",Betalingsmethode
"Payment Information",Betaalinformatie
"Order Review","Overzicht bestelling"
"Shipping Information",Verzendinformatie
"Shipping Method",Verzendwijze
"Minimum order amount is %1","Minimum order amount is %1"
"We cannot add this item to your shopping cart","We cannot add this item to your shopping cart"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","We cannot configure the product."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We cannot update the item.","We cannot update the item."
"We cannot update the shopping cart.","We cannot update the shopping cart."
"We cannot remove the item.","We cannot remove the item."
"The coupon code ""%1"" was applied.","The coupon code ""%1"" was applied."
"The coupon code was canceled.","The coupon code was canceled."
"We cannot apply the coupon code.","We cannot apply the coupon code."
"The onepage checkout is disabled.","Afrekenen op een pagina is uitgeschakeld."
Checkout,Betalen
"Unable to set Payment Method","Unable to set Payment Method"
"Please agree to all the terms and conditions before placing the order.","Gelieve in te stemmen met de algemene voorwaarden voor het plaatsen van de bestelling."
"Something went wrong processing your order. Please try again later.","Something went wrong processing your order. Please try again later."
"We can't find the product.","We can't find the product."
"The product does not exist.","Het product bestaat niet."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"Some products quantities were recalculated because of quantity increment mismatch.","Some products quantities were recalculated because of quantity increment mismatch."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Toon het aantal items in de winkelwagen"
"Display item quantities","Toon item hoeveelheden"
"Load customer quote error","Laad klant prijsopgave fout"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account."
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping address.","There are more than one shipping address."
"Sorry, guest checkout is not enabled.","Sorry, guest checkout is not enabled."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Discount Codes",Kortingcodes
"Enter your code","Enter your code"
"Apply Coupon","Coupon gebruiken"
"Cancel Coupon","Coupon annuleren"
"Continue Shopping","Doorgaan met shoppen"
"Update Shopping Cart","Winkelwagen bijwerken"
"Clear Shopping Cart","Maak winkelwagen leeg"
"Update Cart","Mandje bijwerken"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Items in Cart","Items in Cart"
"Recently added item(s)","Recent toegevoegde artikel(en)"
"You have no items in your shopping cart.","Uw winkelwagen bevat geen artikelen."
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"Cart Subtotal","Cart Subtotal"
"View cart","View cart"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit uw mandje wilt verwijderen?"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Shipping and Tax","Schat de verzendkosten en btw"
"Enter your destination to get a shipping estimate.","Voer uw bestemming in om een schatting van de verzendkosten te krijgen."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
City,Stad
"Zip/Postal Code",Postcode
"Get a Quote","Verkrijg een prijsopgave"
"Update Total","Totaal bijwerken"
"View Details","View Details"
"Options Details","Options Details"
Total:,Total:
"Edit item","Artikel bewerken"
"You will see the order total before you submit the order.","You will see the order total before you submit the order."
"Loading next step...","De volgende stap wordt geladen..."
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Email Address","E-mail adres"
Company,Bedrijf
"VAT Number","BTW nummer"
Address,Adres
"Street Address","Straat Adres"
"Street Address %1","Street Address %1"
Telephone,Telephone
Fax,Fax
Password,Wachtwoord
"Confirm Password","Bevestig Wachtwoord"
"Save in address book","Opslaan in adresboek"
"Ship to this address","Verzend naar dit adres"
"Ship to different address","Verzend naar ander adres"
Continue,Doorgaan
"Order #","Order #"
"Proceed to Checkout","Doorgaan naar Kassa"
Login,"log in"
"Already registered?","Bent u al geregistreerd?"
"Please log in below:","Gelieve hieronder aanmelden:"
"Forgot Your Password?","Forgot Your Password?"
"Checkout as a Guest or Register","Betalen als een gast of registreren"
"Checkout as a Guest","Checkout as a Guest"
"Register to Create an Account","Registreer om een Account aan te maken"
"Register and save time!","Registreer en bespaar tijd!"
"Register with us for future convenience:","Registreer bij ons voor gemak in de toekomst:"
"Fast and easy check out","Snel en makkelijk afrekenen"
"Easy access to your order history and status","Makkelijke toegang tot uw bestelgeschiedenis en -status"
"Checkout as Guest","Als een gast uitchecken"
Register,Registreer
"No Payment Methods","No Payment Methods"
"Your Checkout Progress","Uw betalingsvoortgang"
"Billing Address",Factuuradres
"Shipping Address","Ontvangst Adres"
"Shipping method has not been selected yet","Verzendwijze is nog niet geselecteerd"
"Payment Method",Betaalwijze
"Place Order","Bestelling plaatsen"
"Forgot an Item?","Een item vergeten?"
"Edit Your Cart","Bewerk uw winkelwagen"
