"Website is not specified","Website is not specified"
"E-mail is not specified","E-mail is not specified"
"Invalid value in website column","Invalid value in website column"
"E-mail is invalid","E-mail is invalid"
"Required attribute '%s' has an empty value","Required attribute '%s' has an empty value"
"Customer with such email and website code doesn't exist","Customer with such email and website code doesn't exist"
"Customer address id column is not specified","Customer address id column is not specified"
"Customer address for such customer doesn't exist","Customer address for such customer doesn't exist"
"Region is invalid","Region is invalid"
"Row with such email, website and address id combination was already found.","Row with such email, website and address id combination was already found."
"E-mail is duplicated in import file","E-mail is duplicated in import file"
"Orphan rows that will be skipped due default row errors","Orphan rows that will be skipped due default row errors"
"Invalid value in Store column (store does not exists?)","Invalid value in Store column (store does not exists?)"
"E-mail and website combination is not found","E-mail and website combination is not found"
"Invalid password length","Invalid password length"
CSV,CSV
"Excel XML","Excel XML"
