No,No
Previous,Previous
Position,Position
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"Use In Layered Navigation","Use In Layered Navigation"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Filterable (with results)","Filterable (with results)"
"Filterable (no results)","Filterable (no results)"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Use in Layered Navigation","Use in Layered Navigation"
"Currently Shopping by:","Currently Shopping by:"
"Layered Navigation","Layered Navigation"
"Display Product Count","Display Product Count"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Default Price Navigation Step","Default Price Navigation Step"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Display Price Interval as One Price","Display Price Interval as One Price"
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Interval Division Limit","Interval Division Limit"
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
