Cancel,Cancelar
Back,Voltar
ID,Identidade
Action,Ação
Reset,Redefinir
Customer,Cliente
Guest,Convidado
Email,E-mail
Delete,Excluir
Store,Loja
"Web Site","Web Site"
Status,Status
"Store View","Visualização da loja"
Type,Tipo
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
Preview,Visualizar
Subject,Assunto
Sent,Enviado
"Not Sent","Não Enviado"
Sending,Enviando
Paused,Parado.
Newsletter,Newsletter
Updated,Updated
"Newsletter Subscription","Assinatura do boletim informativo"
"Add New Template","Adicionar novo modelo"
"Delete Template","Apagar Modelo"
"Convert to Plain Text","Converter para Texto Simples"
"Preview Template","Visualização do Modelo"
"Save Template","Salvar Modelo"
"Template Information","Informação do Modelo"
"Template Name","Nome do Modelo"
"Template Subject","Assunto do Modelo"
"Template Content","Conteúdo do Modelo"
"Template Styles","Estilos do Modelo"
"Edit Template","Editar modelo"
"New Template","Novo Modelo"
Template,Template
"Are you sure that you want to delete this template?","Tem certeza de que deseja apagar este modelo?"
"Sender Name","Nome do remetente"
"Sender Email","E-mail do remetente"
Message,Mensagem
Recipients,Destinatários
"Please enter a valid email address.","Entre com um e-mail válido."
"Delete Selected Problems","Excluir Problemas Selecionados"
"Unsubscribe Selected","Desinscrever Selecionado"
"Save Newsletter","Salvar Newsletter"
"Save and Resume","Salvar e Reiniciar"
"View Newsletter","Ver Newsletter"
"Edit Newsletter","Editar Boletim Informativo"
"Queue Information","Informações sobre a Fila"
"Queue Date Start","Queue Date Start"
"Subscribers From","Formulário para assinantes"
"Newsletter Styles","Estilos de Boletim Informativo"
Start,Iniciar
Pause,Parar.
"Do you really want to cancel the queue?","Você realmente quer cancelar a fila?"
Resume,Reiniciar
"Newsletter Templates","Modelos de Boletim Informativo"
"Return HTML Version","Retornar Versão HTML"
"Save As","Salvar Como"
"Edit Newsletter Template","Editar Modelo do Boletim Informativo"
"New Newsletter Template","Novo modelo de boletim informativo"
"No Templates Found","Nenhum Modelo Encontrado"
Added,Added
Sender,Remetente
"Template Type","Tipo de Modelo"
"Queue Newsletter...","Newsletter da Fila..."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Reportar Problemas do Boletim Informativo."
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Queue","Fila do Boletim Informativo"
"Edit Queue","Editar fila"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers","Assinantes do Boletim Informativo"
Subscribers,Assinantes
"Please select one or more subscribers.","Please select one or more subscribers."
"Create Newsletter Template","Criar modelo de boletim informativo"
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.","An error occurred while saving this template."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Obrigado por sua assinatura."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Your subscription has been confirmed.","Sua inscrição foi confirmada."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"You have been unsubscribed.","Sua inscrição foi cancelada."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","Este endereço de email já está atribuído a outro usuário."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Cancelado
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Visualização de mensagem do Boletim informativo"
"Add to Queue","Adicionar à Fila"
"Are you sure that you want to strip all tags?","Tem certeza de que deseja remover todas as tags?"
"Please enter new template name.","Please enter new template name."
" Copy",Copiar
"Sign Up for Our Newsletter:","Assinar Nossa Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Assinar
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
