No,No
Discount,Discount
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de la tarjeta de crédito"
"Expiration Date","Fecha de Caducidad"
"Card Verification Number","Número de comprobación de la tarjeta"
"--Please Select--",--Seleccione--
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","¿Qué es esto?"
Shipping,Shipping
Yes,Yes
N/A,N/A
Month,Mes
Year,Año
"Start Date","Fecha de Inicio"
"We cannot retrieve the payment method model object.","We cannot retrieve the payment method model object."
"We cannot retrieve the payment info model object.","We cannot retrieve the payment info model object."
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de Inicio de Switch/Solo/Maestro"
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","We cannot retrieve the payment method code."
"We cannot retrieve the payment information object instance.","We cannot retrieve the payment information object instance."
"You can't use the payment type you selected to make payments to the billing country.","You can't use the payment type you selected to make payments to the billing country."
"The order action is not available.","The order action is not available."
"The authorize action is not available.","The authorize action is not available."
"The capture action is not available.","The capture action is not available."
"The refund action is not available.","The refund action is not available."
"Void action is not available.","La anulación no se encuentra disponible."
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"Credit card number mismatch with credit card type.","El número de la tarjeta de crédito no coincide con el típo de tarjeta."
"Invalid Credit Card Number","El número de tarjeta es inválido."
"Credit card type is not allowed for this payment method.","Este tipo de tarjeta de crédito no está permitido para este método de pago."
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta válido."
"We found an incorrect credit card expiration date.","We found an incorrect credit card expiration date."
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Issue Number","Número de emisión"
"%1 is not available. You still can process offline actions.","%1 is not available. You still can process offline actions."
"Payment Methods","Payment Methods"
