"Product Alerts","Product Alerts"
"We can't find the product.","We can't find the product."
"There are not enough parameters.","There are not enough parameters."
"You saved the alert subscription.","You saved the alert subscription."
"Unable to update the alert subscription.","Aktualisierung des Benachrichtigungsabonnements nicht möglich."
"Alert subscription has been saved.","Benachrichtigungsabonnement wurde gespeichert."
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.","Sie erhalten zukünftig keine Preisbenachrichtigungen mehr."
"The product was not found.","Das Produkt konnte nicht gefunden werden."
"You will no longer receive stock alerts for this product.","Sie erhalten zukünftig keine weiteren Verfügbarkeitsbenachrichtigungen mehr für dieses Produkt."
"You will no longer receive stock alerts.","Sie erhalten zukünftig keine Verfügbarkeitsbenachrichtigungen mehr."
"Invalid block type: %1","Invalid block type: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Sie erhalten diese Benachrichtigung, da Sie informiert werden wollten, wenn sich die Preise folgender Produkte ändern:"
Price:,Preis:
"Click here not to receive alerts for this product.","Click here not to receive alerts for this product."
"Unsubscribe from all price alerts","Von allen Preisbenachrichtigungen abmelden"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Sie erhalten diese Benachrichtigung, da Sie informiert werden wollten, wenn folgende Produkte wieder verfügbar sind:"
"Unsubscribe from all stock alerts","Von allen Verfügbarkeitsbenachrichtigungen abmelden"
"Start Time","Start Time"
Frequency,Frequency
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Price Alert Email Template","Price Alert Email Template"
"Stock Alert Email Template","Stock Alert Email Template"
"Alert Email Sender","Alert Email Sender"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Sign up for price alert","Für Preisbenachrichtigungen anmelden"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
