"Product Alerts","Product Alerts"
"We can't find the product.","We can't find the product."
"There are not enough parameters.","There are not enough parameters."
"You saved the alert subscription.","You saved the alert subscription."
"Unable to update the alert subscription.","Imposible actualizar la suscripción de alerta."
"Alert subscription has been saved.","Alerta de suscripción guardada."
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.","Usted no recibirá más alertas de precio para este producto."
"The product was not found.","No se encontró el producto."
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas de existencias para este producto."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de existencias."
"Invalid block type: %1","Invalid block type: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación porque está suscrito para recibir alertas cuando los precios de los siguientes productos cambien:"
Price:,Precio:
"Click here not to receive alerts for this product.","Click here not to receive alerts for this product."
"Unsubscribe from all price alerts","Darse de baja de todas las alertas de precio"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación porque está suscrito para recibir alertas cuando los siguientes productos vuelvan a estar en existencias:"
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de existencias"
"Start Time","Start Time"
Frequency,Frequency
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Price Alert Email Template","Price Alert Email Template"
"Stock Alert Email Template","Stock Alert Email Template"
"Alert Email Sender","Alert Email Sender"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Sign up for price alert","Incribirse para alerta de precio"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
