"Are you sure?","Sind Sie sicher?"
Cancel,Cancel
Back,Zurück
Product,Produktname
Price,Preis
Quantity,Anzahl
ID,ID
SKU,SKU
Action,Action
Edit,Edit
Customer,Kunde
Guest,Gast
Delete,Löschen
Name,Name
Status,Status
"Sort Order",Sortierfolge
Title,Titel
"Are you sure you want to do this?","Sind Sie sicher, dass sie das tun wollen?"
Type,Typ
Description,Description
Previous,Previous
Next,Next
Active,Active
Visibility,"Sichtbar in"
"* Required Fields","* Required Fields"
Summary,Summary
"Default Value","Vorgegebener Wert"
Websites,Webseiten
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Product Name","Product Name"
Inactive,Inactive
"View Details","Details ansehen"
Created,Created
"Product Reviews",Produktreviews
Pending,Pending
Review,Review
Reviews,Bewertungen
"Save Review","Review speichern"
"Add New Review","Neues Review hinzufügen"
"Review Details",Reviewdetails
"Product Rating",Produktbewertung
"Visible In","Visible In"
Nickname,Nickname
"Summary of Review",Reviewzusammenfassung
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Delete Review","Review löschen"
"Edit Review '%1'","Edit Review '%1'"
"New Review","Neues Review"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrator
"Posted By","Geposted von"
"Summary Rating",Bewertungszusammenfassung
"Detailed Rating","Detailierte Bewertung"
"Pending Reviews RSS","Ausstehende Kundenmeinungen RSS"
"Update Status","Status aktualisieren"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Ausstehende Reviews"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Alle Reviews"
"Product Store Name","Product Store Name"
"Manage Ratings","Bewertungen verwalten"
"Add New Rating","Neue Bewertung hinzufügen"
"Save Rating","Bewertung speichern"
"Delete Rating","Vorgegebene Bewertung"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Neue Bewertung"
"Rating Title",Bewertungstitel
"Rating Visibility","Sichtbarkeit der Bewertung"
"Is Active","Is Active"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information",Bewertungsinformation
"Customer Reviews",Kundenreviews
"Edit Review","Edit Review"
"The review was removed by another user or does not exist.","Diese Bewertung wurde von einem anderen Benutzer entfernt oder existiert nicht."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"My Product Reviews","Meine Produktreviews"
"Your review has been accepted for moderation.","Ihr Review wurde für Moderation akzeptiert."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Approved
"Not Approved","Not Approved"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Assigned Options","Zugewiesene Optionen"
"Option Title:","Option Titel:"
Rating,Bewertungsname
"You have submitted no reviews.","Sie haben keine Reviews geschrieben."
"My Recent Reviews","Meine letzten Reviews"
"View All Reviews","Alle Reviews ansehen"
"Average Customer Rating:","Durschschnittliche Kundenbewertung:"
"Your Rating:","Ihre Bewertung:"
Rating:,Bewertung
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Zurück zu Meinen Reviews"
"Be the first to review this product","Bewerten Sie dieses Produkt als Erster"
"Write Your Own Review","Schreiben Sie Ihr eigenes Review"
"You're reviewing:","Sie schreiben ein Review für:"
"How do you rate this product?","Wie bewerten Sie dieses Produkt?"
"%1 %2","%1 %2"
"Summary of Your Review","Zusammenfassung Ihres Reviews"
"Submit Review","Review abschicken"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Eigenes Review hinzufügen"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Zurück zur Hauptproduktinfo"
"Average Customer Rating","Durschschnittliche Kundenbewertung"
"Product Rating:",Produktbewertung:
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Zurück zu Produktreviews"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
