"Are you sure?","¿Está seguro?"
Cancel,Cancel
Back,Volver
Product,"Nombre de Producto"
Price,Precio
Quantity,Cantidad
ID,ID
SKU,"Número de referencia"
Action,Action
Edit,Edit
Customer,Cliente
Guest,Invitado
Delete,Eliminar
Name,Nombre
Status,Estado
"Sort Order","Orden de selección"
Title,Título
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
Type,Tipo
Description,Description
Previous,Previous
Next,Next
Active,Active
Visibility,"Visible en"
"* Required Fields","* Required Fields"
Summary,Summary
"Default Value","Valor predeterminado"
Websites,"Páginas web"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Product Name","Product Name"
Inactive,Inactive
"View Details","Ver detalles"
Created,Created
"Product Reviews","Opiniones de Producto"
Pending,Pending
Review,Revisión
Reviews,Reseñas
"Save Review","Guardar Revisión"
"Add New Review","Añadir Nueva Revisión"
"Review Details","Detalles de Revisión"
"Product Rating","Valoración de Producto"
"Visible In","Visible In"
Nickname,Apodo
"Summary of Review","Resumen de Revisión"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Delete Review","Borrar Revisiones"
"Edit Review '%1'","Edit Review '%1'"
"New Review","Nueva Revisión"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrador
"Posted By","Publicado Por"
"Summary Rating","Valoración Resum"
"Detailed Rating","Valoración Detallada"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Update Status","Actualizar Estado"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Revisiones Pendientes"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Todas las Revisiones"
"Product Store Name","Product Store Name"
"Manage Ratings","Administrar puntuaciones"
"Add New Rating","Agregar nueva puntuación"
"Save Rating","Guardar puntuación"
"Delete Rating","Eliminar puntuación"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nueva puntuación"
"Rating Title","Visibilidad de la puntuación"
"Rating Visibility","Visibilidad de la puntuación"
"Is Active","Is Active"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Rating Information","Información sobre la puntuación"
"Customer Reviews","Revisiones de Cliente"
"Edit Review","Edit Review"
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Please select review(s).","Please select review(s)."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"We can't get the product ID.","We can't get the product ID."
"An error occurred while saving review.","An error occurred while saving review."
"You saved the rating.","You saved the rating."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"My Product Reviews","Revisiones de Mi Producto"
"Your review has been accepted for moderation.","Tu revisión se ha aceptado para ser moderada."
"We cannot post the review.","We cannot post the review."
"Storage key was not set","Storage key was not set"
Approved,Approved
"Not Approved","Not Approved"
"The review summary field can't be empty.","The review summary field can't be empty."
"The nickname field can't be empty.","The nickname field can't be empty."
"The review field can't be empty.","The review field can't be empty."
"Rating isn't Available","La puntuación no está disponible"
"Assigned Options","Opciones asignadas"
"Option Title:","Título de opciones:"
Rating,"Nombre de la puntuación"
"You have submitted no reviews.","No has enviado ninguna revisión."
"My Recent Reviews","Mis Revisiones Recientes"
"View All Reviews","Ver Todas las Revisiones"
"Average Customer Rating:","Revisión Media de Clientes:"
"Your Rating:","Tu Valoración:"
Rating:,Valoración:
"Your Review (submitted on %1):","Your Review (submitted on %1):"
"Review (submitted on %1):","Review (submitted on %1):"
"Back to My Reviews","Volver a Mis Revisiones"
"Be the first to review this product","Sea el primero en dejar una reseña para este producto"
"Write Your Own Review","Escribir Tu Propia Revisión"
"You're reviewing:","Estás revisando:"
"How do you rate this product?","¿Cómo valoras este producto?"
"%1 %2","%1 %2"
"Summary of Your Review","Resumen de Tu Revisión"
"Submit Review","Enviar Revisión"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>"
Review(s),Review(s)
"Add Your Review","Añadir Tu Revisión"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Volver a Información Principal del Producto"
"Average Customer Rating","Valoración Media de Clientes"
"Product Rating:","Valoración de Producto:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Volver a Revisiones de Producto"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
