Remove,Entfernen
Apply,Anwenden
Add,Hinzufügen
"Please wait, loading...","Please wait, loading..."
"Attribute Set","Attribute Set"
Category,Category
"Conditions Combination",Bedingungenkombination
contains,enthält
"Open Chooser","Auswahl öffnen"
"is one of","ist einer von"
"is not one of","ist nicht einer von"
"equals or greater than","gleich oder größer als"
"equals or less than","gleich oder kleiner als"
"greater than","größer als"
"less than","weniger als"
is,ist
"is not","ist nicht"
"Invalid discount amount.","Ungültiger Rabattbetrag:"
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.","Die Webseiten müssen angegeben werden."
"Customer Groups must be specified.","Die Kundengruppen müssen angegeben werden."
to,bis
by,von
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Folgende Aktionen ausführen"
"does not contain","enthält nicht"
"Please choose a condition to add.","Please choose a condition to add."
ALL,ALLE
ANY,JEDE
TRUE,WAHR
FALSE,FALSCH
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
