Back,Voltar
Name,Nome
Enabled,Enabled
"* Required Fields","* Required Fields"
Message:,Mensagem:
"Email to a Friend","Enviar por e-mail a um amigo"
"Email Address","Endereço de e-mail"
"Email Templates","Email Templates"
Name:,Nome:
"Email Address:","Endereço de e-mail:"
Sender:,Remetente:
Email:,E-mail:
Recipient:,Destinatário:
"Add Recipient","Adicione Destinatário"
"Send Email","Enviar email"
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","O link para um amigo foi enviado."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Alguns e-mails não foram enviados."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"The sender name cannot be empty.","O nome do remetente não pode estar em branco."
"Invalid Sender Email","Invalid Sender Email"
"The message cannot be empty.","A mensagem não pode estar vazia."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct Cookie instance.","Defina um elemento de Cookie correto."
"Please define a correct Product instance.","Defina um elemento de Produto correto."
"Invalid Sender Information","Informações inválidas de remetente"
"Please define the correct Sender information.","Defina as informações corretas do Remetente."
"Remove Email","Remover Email"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Select Email Template","Select Email Template"
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
