name,url_key,path,active,is_anchor,include_in_menu,position,display_mode,custom_layout_update
Men,men,,1,0,1,3,PAGE,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>"
Tops,tops-men,Men,1,1,1,,,
Bottoms,bottoms-men,Men,1,1,1,,,
Jackets,jackets-men,Men/Tops,1,1,1,,,
"Hoodies & Sweatshirts",hoodies-and-sweatshirts-men,Men/Tops,1,1,1,,,
Tees,tees-men,Men/Tops,1,1,1,,,
Tanks,tanks-men,Men/Tops,1,1,1,,,
Pants,pants-men,Men/Bottoms,1,1,1,,,
Shorts,shorts-men,Men/Bottoms,1,1,1,,,
Women,women,,1,0,1,2,PAGE,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>"
Tops,tops-women,Women,1,1,1,,,
Bottoms,bottoms-women,Women,1,1,1,,,
Jackets,jackets-women,Women/Tops,1,1,1,,,
"Hoodies & Sweatshirts",hoodies-and-sweatshirts-women,Women/Tops,1,1,1,,,
Tees,tees-women,Women/Tops,1,1,1,,,
"Bras & Tanks",tanks-women,Women/Tops,1,1,1,,,
Pants,pants-women,Women/Bottoms,1,1,1,,,
Shorts,shorts-women,Women/Bottoms,1,1,1,,,
Promotions,promotions,,0,0,0,,PAGE,
"Women Sale",women-sale,Promotions,1,1,0,,,
"Men Sale",men-sale,Promotions,1,1,0,,,
"Pants",pants-all,Promotions,1,1,0,,,
"Tees",tees-all,Promotions,1,1,0,,,
"Collections",collections,,0,0,0,,PAGE,
"New Luma Yoga Collection",yoga-new,Collections,1,1,0,,,
"Erin Recommends",erin-recommends,Collections,1,1,0,,,
"Performance Fabrics",performance-fabrics,Collections,1,1,0,,,
"Eco Friendly",eco-friendly,Collections,1,1,0,,,
